instrument_oid;instrument_type;category;num_underlyings;expiry_date;time_to_expiry;num_paths;num_time_steps;num_exercise_events;calibration_date;calibration_time
27039241;TotalReturnSwap;CBRC;3;23.10.2024 00:00;0.397260274;15000;1;2;31.05.2024;29.265625
27365521;Option;BRC;3;27.01.2025 17:30;0.660273973;15000;1;0;31.05.2024;19.046875
27571329;Option;BRC;1;26.09.2024 22:00;0.323287671;15000;1;0;31.05.2024;1.703125
27293120;Option;BRC;4;03.01.2025 17:30;0.594520548;15000;1;0;31.05.2024;47.421875
27754716;Option;BRC;3;21.05.2025 17:30;0.97260274;15000;1;0;31.05.2024;21.15625
27365453;Option;BRC;1;27.01.2025 17:35;0.660273973;15000;1;0;31.05.2024;1.90625
27015033;TotalReturnSwap;AC;3;14.10.2024 00:00;0.37260274;15000;1;1;31.05.2024;18.1875
27667831;Option;BRC;2;27.01.2025 17:30;0.660273973;15000;1;0;31.05.2024;6.40625
27621962;Option;BRC;1;04.10.2024 17:30;0.345205479;15000;1;0;31.05.2024;1.734375
27494881;Option;BRC;2;12.03.2025 21:00;0.780821918;15000;1;0;31.05.2024;7.359375
27041672;Option;BRC;2;18.10.2024 22:00;0.383561644;15000;1;0;31.05.2024;6.375
27690141;Option;BRC;2;06.05.2025 17:30;0.931506849;15000;1;0;31.05.2024;6.890625
27686925;Option;BRC;3;02.05.2025 17:30;0.920547945;15000;1;0;31.05.2024;17.921875
26934527;TotalReturnSwap;AC;2;23.09.2024 00:00;0.315068493;15000;1;2;31.05.2024;8.6875
27603715;Option;BRC;3;11.04.2025 17:30;0.863013699;15000;1;0;31.05.2024;22.625
27659912;Option;BRC;2;23.07.2024 17:30;0.145205479;15000;1;0;31.05.2024;6.53125
27204061;Option;BRC;3;06.12.2024 17:35;0.517808219;15000;1;0;31.05.2024;20.578125
27199403;Option;BRC;3;04.06.2024 17:30;0.010958904;15000;1;0;31.05.2024;16.984375
27628440;Option;BRC;3;22.04.2025 17:30;0.893150685;15000;1;0;31.05.2024;21.578125
27086835;TotalReturnSwap;AC;2;04.11.2024 00:00;0.430136986;15000;1;2;31.05.2024;12.3125
27593847;Option;BRC;5;07.04.2025 17:30;0.852054795;15000;1;0;31.05.2024;86.40625
26778163;TotalReturnSwap;AC;3;27.07.2026 00:00;2.156164384;15000;1;3;31.05.2024;33.25
27392760;TotalReturnSwap;AC;3;16.02.2026 00:00;1.715068493;15000;1;7;31.05.2024;59.875
26671989;Option;BRC;3;10.06.2024 17:30;0.02739726;15000;1;0;31.05.2024;17.65625
27039881;Option;BRC;3;18.12.2024 17:30;0.550684932;15000;1;0;31.05.2024;19.515625
27571188;Option;BRC;3;09.12.2024 17:30;0.526027397;15000;1;0;31.05.2024;19.046875
27397154;Option;BRC;4;10.02.2025 17:30;0.698630137;15000;1;0;31.05.2024;42.34375
27376514;Option;BRC;2;30.01.2025 17:30;0.668493151;15000;1;0;31.05.2024;6.53125
27591245;TotalReturnSwap;CBRC;3;10.10.2025 00:00;1.361643836;15000;1;6;31.05.2024;66.34375
26907383;Option;BRC;3;02.09.2024 17:30;0.257534247;15000;1;0;31.05.2024;19.765625
27760334;Option;BRC;3;21.11.2024 17:30;0.476712329;15000;1;0;31.05.2024;19.3125
27442428;Option;BRC;4;20.02.2025 22:00;0.726027397;15000;1;0;31.05.2024;43.953125
27281157;TotalReturnSwap;CBRC;3;07.01.2025 00:00;0.605479452;15000;1;3;31.05.2024;33.984375
27488124;Option;BRC;2;10.03.2025 17:30;0.775342466;15000;1;0;31.05.2024;6.515625
27353092;Option;BRC;1;22.01.2025 17:30;0.646575342;15000;1;0;31.05.2024;1.59375
26733424;Option;BRC;3;26.06.2024 22:00;0.071232877;15000;1;0;31.05.2024;18.90625
27207279;Option;BRC;1;09.12.2024 22:00;0.526027397;15000;1;0;31.05.2024;1.6875
27411944;Option;BRC;2;22.08.2024 17:30;0.22739726;15000;1;0;31.05.2024;6.6875
27477101;TotalReturnSwap;CBRC;3;11.09.2025 00:00;1.282191781;15000;1;6;31.05.2024;58.671875
27686837;Option;BRC;3;03.11.2025 17:30;1.42739726;15000;1;0;31.05.2024;19.828125
26978985;Option;BRC;3;23.09.2024 17:30;0.315068493;15000;1;0;31.05.2024;18.1875
27447430;Option;BRC;3;24.02.2025 22:00;0.736986301;15000;1;0;31.05.2024;20.359375
